,name,pokedex_number,type1,type2,abilities,hp,atk,def,sp_atk,sp_def,speed,height(in),height(m),weight(lbs),weight(kg)
163,Cutiefly,742,Bug,Fairy,"['Honey Gather', 'Shield Dust', 'Sweet Veil']",40,45,40,55,40,84,"0'04""
","0.1 m
","0.4 lbs.
","0.2 kg
"
164,Cyndaquil,155,Fire,Unknown,"['Blaze', 'Flash Fire']",39,52,43,60,50,65,"1'08""
","0.5 m
","17.4 lbs.
","7.9 kg
"
165,Darkrai,491,Dark,Unknown,['Bad Dreams'],70,90,90,135,90,125,"4'11""
","1.5 m
","111.3 lbs.
","50.5 kg
"
166,Darmanitan,555,Fire,Unknown,"['Sheer Force', 'Gorilla Tactics', 'Zen Mode']",105,140,55,30,55,95,"4'03""
","1.3 m
","204.8 lbs.
","92.9 kg
"
167,Dartrix,723,Grass,Flying,"['Overgrow', 'Long Reach']",78,75,75,70,70,52,"2'04""
","0.7 m
","35.3 lbs.
","16.0 kg
"
168,Darumaka,554,Fire,Unknown,"['Hustle', 'Inner Focus']",70,90,45,15,45,50,"2'00""
","0.6 m
","82.7 lbs.
","37.5 kg
"
169,Decidueye,724,Grass,Ghost,"['Overgrow', 'Long Reach']",78,107,75,100,100,70,"5'03""
","1.6 m
","80.7 lbs.
","36.6 kg
"
170,Dedenne,702,Electric,Fairy,"['Cheek Pouch', 'Pickup', 'Plus']",67,58,57,81,67,101,"0'08""
","0.2 m
","4.9 lbs.
","2.2 kg
"
171,Deerling,585,Normal,Grass,"['Chlorophyll', 'Sap Sipper', 'Serene Grace']",60,60,50,40,50,75,"2'00""
","0.6 m
","43.0 lbs.
","19.5 kg
"
172,Deino,633,Dark,Dragon,['Hustle'],52,65,50,45,50,38,"2'07""
","0.8 m
","38.1 lbs.
","17.3 kg
"
173,Delcatty,301,Normal,Unknown,"['Cute Charm', 'Normalize', 'Wonder Skin']",70,65,65,55,55,70,"3'07""
","1.1 m
","71.9 lbs.
","32.6 kg
"
174,Delibird,225,Ice,Flying,"['Vital Spirit', 'Hustle', 'Insomnia']",45,55,45,65,45,75,2'11??,"0.9 m
","35.3 lbs.
","16.0 kg
"
175,Delphox,655,Fire,Psychic,"['Blaze', 'Magician']",75,69,72,114,100,104,"4'11""
","1.5 m
","86.0 lbs.
","39.0 kg
"
176,Deoxys,386,Psychic,Unknown,['Pressure'],50,150,50,150,50,150,"5'07""
","1.7 m
","134.0 lbs.
","60.8 kg
"
177,Dewgong,87,Water,Ice,"['Thick Fat', 'Hydration', 'Ice Body']",90,70,80,70,95,70,"5'07""
","1.7 m
","264.6 lbs.
","120.0 kg
"
178,Dewott,502,Water,Unknown,"['Torrent', 'Shell Armor']",75,75,60,83,60,60,"2'07""
","0.8 m
","54.0 lbs.
","24.5 kg
"
179,Dewpider,751,Water,Bug,"['Water Bubble', 'Water Absorb']",38,40,52,40,72,27,"1'00""
","0.3 m
","8.8 lbs.
","4.0 kg
"
180,Dhelmise,781,Ghost,Grass,['Steelworker'],70,131,100,86,90,40,"12'10""
","3.9 m
","463.0 lbs.
","210.0 kg
"
181,Dialga,483,Steel,Dragon,"['Pressure', 'Telepathy']",100,120,120,150,100,90,"17'09""
","5.4 m
","1505.8 lbs.
","683.0 kg
"
182,Diancie,719,Rock,Fairy,"['Clear Body', 'Magic Bounce']",50,100,150,100,150,50,"2'04""
","0.7 m
","19.4 lbs.
","8.8 kg
"
183,Diggersby,660,Normal,Ground,"['Pickup', 'Cheek Pouch', 'Huge Power']",85,56,77,50,77,78,"3'03""
","1.0 m
","93.5 lbs.
","42.4 kg
"
184,Diglett,50,Ground,Unknown,"['Sand Veil', 'Arena Trap', 'Sand Veil', 'Tangling Hair', 'Sand Force']",10,55,25,35,45,95,"0'08""
","0.2 m
","1.8 lbs.
","0.8 kg
"
185,Ditto,132,Normal,Unknown,"['Limber', 'Imposter']",48,48,48,48,48,48,"1'00""
","0.3 m
","8.8 lbs.
","4.0 kg
"
186,Dodrio,85,Normal,Flying,"['Run Away', 'Early Bird', 'Tangled Feet']",60,110,70,60,60,100,"5'11""
","1.8 m
","187.8 lbs.
","85.2 kg
"
187,Doduo,84,Normal,Flying,"['Run Away', 'Early Bird', 'Tangled Feet']",35,85,45,35,35,75,"4'07""
","1.4 m
","86.4 lbs.
","39.2 kg
"
188,Donphan,232,Ground,Unknown,"['Sturdy', 'Sand Veil']",90,120,120,60,60,50,3'07??,"1.1 m
","264.6 lbs.
","120.0 kg
"
189,Dottler,825,Bug,Psychic,"['Swarm', 'Compound Eyes', 'Telepathy']",50,35,80,50,90,30,"1'04""
","0.4 m
","43.0 lbs.
","19.5 kg
"
190,Doublade,680,Steel,Ghost,['No Guard'],59,110,150,45,49,35,"2'07""
","0.8 m
","9.9 lbs.
","4.5 kg
"
191,Dracovish,882,Water,Dragon,"['Water Absorb', 'Strong Jaw', 'Sand Rush']",90,90,100,70,80,75,"7'07""
","2.3 m
","474.0 lbs.
","215.0 kg
"
192,Dracozolt,880,Electric,Dragon,"['Volt Absorb', 'Hustle', 'Sand Rush']",90,100,90,80,70,75,"5'11""
","1.8 m
","418.9 lbs.
","190.0 kg
"
193,Dragalge,691,Poison,Dragon,"['Poison Point', 'Poison Touch', 'Adaptability']",65,75,90,97,123,44,"5'11""
","1.8 m
","179.7 lbs.
","81.5 kg
"
194,Dragapult,887,Dragon,Ghost,"['Clear Body', 'Infiltrator', 'Cursed Body']",88,120,75,100,75,142,"9'10""
","3.0 m
","110.2 lbs.
","50.0 kg
"
195,Dragonair,148,Dragon,Unknown,"['Shed Skin', 'Marvel Scale']",61,84,65,70,70,70,"13'01""
","4.0 m
","36.4 lbs.
","16.5 kg
"
196,Dragonite,149,Dragon,Flying,"['Inner Focus', 'Multiscale']",91,134,95,100,100,80,"7'03""
","2.2 m
","463.0 lbs.
","210.0 kg
"
197,Drakloak,886,Dragon,Ghost,"['Clear Body', 'Infiltrator', 'Cursed Body']",68,80,50,60,50,102,"4'07""
","1.4 m
","24.3 lbs.
","11.0 kg
"
198,Drampa,780,Normal,Dragon,"['Berserk', 'Sap Sipper', 'Cloud Nine']",78,60,85,135,91,36,"9'10""
","3.0 m
","407.9 lbs.
","185.0 kg
"
199,Drapion,452,Poison,Dark,"['Battle Armor', 'Sniper', 'Keen Eye']",70,90,110,60,75,95,"4'03""
","1.3 m
","135.6 lbs.
","61.5 kg
"
200,Dratini,147,Dragon,Unknown,"['Shed Skin', 'Marvel Scale']",41,64,45,50,50,50,"5'11""
","1.8 m
","7.3 lbs.
","3.3 kg
"
201,Drednaw,834,Water,Rock,"['Strong Jaw', 'Shell Armor', 'Swift Swim']",90,115,90,48,68,74,"3'03""
","1.0 m
","254.6 lbs.
","115.5 kg
"
202,Dreepy,885,Dragon,Ghost,"['Clear Body', 'Infiltrator', 'Cursed Body']",28,60,30,40,30,82,"1'08""
","0.5 m
","4.4 lbs.
","2.0 kg
"
203,Drifblim,426,Ghost,Flying,"['Aftermath', 'Unburden', 'Flare Boost']",150,80,44,90,54,80,"3'11""
","1.2 m
","33.1 lbs.
","15.0 kg
"
204,Drifloon,425,Ghost,Flying,"['Aftermath', 'Unburden', 'Flare Boost']",90,50,34,60,44,70,"1'04""
","0.4 m
","2.6 lbs.
","1.2 kg
"
205,Drilbur,529,Ground,Unknown,"['Sand Rush', 'Sand Force', 'Mold Breaker']",60,85,40,30,45,68,"1'00""
","0.3 m
","18.7 lbs.
","8.5 kg
"
206,Drizzile,817,Water,Unknown,"['Torrent', 'Sniper']",65,60,55,95,55,90,"2'04""
","0.7 m
","25.4 lbs.
","11.5 kg
"
207,Drowzee,96,Psychic,Unknown,"['Insomnia', 'Forewarn', 'Inner Focus']",60,48,45,43,90,42,"3'03""
","1.0 m
","71.4 lbs.
","32.4 kg
"
208,Druddigon,621,Dragon,Unknown,"['Rough Skin', 'Sheer Force', 'Mold Breaker']",77,120,90,60,90,48,"5'03""
","1.6 m
","306.4 lbs.
","139.0 kg
"
209,Dubwool,832,Normal,Unknown,"['Fluffy', 'Steadfast', 'Bulletproof']",72,80,100,60,90,88,"4'03""
","1.3 m
","94.8 lbs.
","43.0 kg
"
210,Ducklett,580,Water,Flying,"['Keen Eye', 'Big Pecks', 'Hydration']",62,44,50,44,50,55,"1'08""
","0.5 m
","12.1 lbs.
","5.5 kg
"
211,Dugtrio,51,Ground,Unknown,"['Sand Veil', 'Arena Trap', 'Sand Veil', 'Tangling Hair', 'Sand Force']",35,80,50,50,70,120,"2'04""
","0.7 m
","73.4 lbs.
","33.3 kg
"
212,Dunsparce,206,Normal,Unknown,"['Serene Grace', 'Run Away', 'Rattled']",100,70,70,65,65,45,"4'11""
","1.5 m
","30.9 lbs.
","14.0 kg
"
213,Duosion,578,Psychic,Unknown,"['Overcoat', 'Magic Guard', 'Regenerator']",65,40,50,125,60,30,"2'00""
","0.6 m
","17.6 lbs.
","8.0 kg
"
214,Duraludon,884,Steel,Dragon,"['Light Metal', 'Heavy Metal', 'Stalwart']",70,95,115,120,50,85,"5'11""
","1.8 m
","88.2 lbs.
","40.0 kg
"
215,Durant,632,Bug,Steel,"['Swarm', 'Hustle', 'Truant']",58,109,112,48,48,109,"1'00""
","0.3 m
","72.8 lbs.
","33.0 kg
"
216,Dusclops,356,Ghost,Unknown,"['Pressure', 'Frisk']",40,70,130,60,130,25,"5'03""
","1.6 m
","67.5 lbs.
","30.6 kg
"
217,Dusknoir,477,Ghost,Unknown,"['Pressure', 'Frisk']",45,100,135,65,135,45,"7'03""
","2.2 m
","235.0 lbs.
","106.6 kg
"
218,Duskull,355,Ghost,Unknown,"['Levitate', 'Frisk']",20,40,90,30,90,25,"2'07""
","0.8 m
","33.1 lbs.
","15.0 kg
"
219,Dustox,269,Bug,Poison,"['Shield Dust', 'Compound Eyes']",60,50,70,50,90,65,"3'11""
","1.2 m
","69.7 lbs.
","31.6 kg
"
220,Dwebble,557,Bug,Rock,"['Sturdy', 'Shell Armor', 'Weak Armor']",50,65,85,35,35,55,"1'00""
","0.3 m
","32.0 lbs.
","14.5 kg
"
221,Eelektrik,603,Electric,Unknown,['Levitate'],65,85,70,75,70,40,"3'11""
","1.2 m
","48.5 lbs.
","22.0 kg
"
222,Eelektross,604,Electric,Unknown,['Levitate'],85,115,80,105,80,50,"6'11""
","2.1 m
","177.5 lbs.
","80.5 kg
"
223,Eevee,133,Normal,Unknown,"['Run Away', 'Adaptability', 'Anticipation']",55,55,50,45,65,55,"1'00""
","0.3 m
","14.3 lbs.
","6.5 kg
"
224,Eiscue,875,Ice,Unknown,['Ice Face'],75,80,110,65,90,50,"4'07""
","1.4 m
","196.2 lbs.
","89.0 kg
"
225,Ekans,23,Poison,Unknown,"['Intimidate', 'Shed Skin', 'Unnerve']",35,60,44,40,54,55,"6'07""
","2.0 m
","15.2 lbs.
","6.9 kg
"
226,Eldegoss,830,Grass,Unknown,"['Cotton Down', 'Regenerator', 'Effect Spore']",60,50,90,80,120,60,"1'08""
","0.5 m
","5.5 lbs.
","2.5 kg
"
227,Electabuzz,125,Electric,Unknown,"['Static', 'Vital Spirit']",65,83,57,95,85,105,"3'07""
","1.1 m
","66.1 lbs.
","30.0 kg
"
228,Electivire,466,Electric,Unknown,"['Motor Drive', 'Vital Spirit']",75,123,67,95,85,95,"5'11""
","1.8 m
","305.6 lbs.
","138.6 kg
"
229,Electrike,309,Electric,Unknown,"['Static', 'Lightning Rod', 'Minus']",40,45,40,65,40,65,"2'00""
","0.6 m
","33.5 lbs.
","15.2 kg
"
230,Electrode,101,Electric,Unknown,"['Soundproof', 'Static', 'Aftermath']",60,50,70,80,80,140,"3'11""
","1.2 m
","146.8 lbs.
","66.6 kg
"
231,Elekid,239,Electric,Unknown,"['Static', 'Vital Spirit']",45,63,37,65,55,95,"2'00""
","0.6 m
","51.8 lbs.
","23.5 kg
"
232,Elgyem,605,Psychic,Unknown,"['Telepathy', 'Synchronize', 'Analytic']",55,55,55,85,55,30,"1'08""
","0.5 m
","19.8 lbs.
","9.0 kg
"
233,Emboar,500,Fire,Fighting,"['Blaze', 'Reckless']",110,123,65,100,65,65,"5'03""
","1.6 m
","330.7 lbs.
","150.0 kg
"
234,Emolga,587,Electric,Flying,"['Static', 'Motor Drive']",55,75,60,75,60,103,"1'04""
","0.4 m
","11.0 lbs.
","5.0 kg
"
235,Empoleon,395,Water,Steel,"['Torrent', 'Defiant']",84,86,88,111,101,60,"5'07""
","1.7 m
","186.3 lbs.
","84.5 kg
"
236,Enamorus,905,Fairy,Flying,"['Healer', 'Overcoat', 'Contrary']",74,115,70,135,80,106,"5'03""
","1.6 m
","105.8 lbs.
","48.0 kg
"
237,Entei,244,Fire,Unknown,"['Pressure', 'Inner Focus']",115,115,85,90,75,100,"6'11""
","2.1 m
","436.5 lbs.
","198.0 kg
"
238,Escavalier,589,Bug,Steel,"['Swarm', 'Shell Armor', 'Overcoat']",70,135,105,60,105,20,"3'03""
","1.0 m
","72.8 lbs.
","33.0 kg
"
239,Espeon,196,Psychic,Unknown,"['Synchronize', 'Magic Bounce']",65,65,60,130,95,110,2'11??,"0.9 m
","58.4 lbs.
","26.5 kg
"
240,Espurr,677,Psychic,Unknown,"['Keen Eye', 'Infiltrator', 'Own Tempo']",62,48,54,63,60,68,"1'00""
","0.3 m
","7.7 lbs.
","3.5 kg
"
241,Eternatus,890,Poison,Dragon,['Pressure'],140,85,95,145,95,130,"65'07""
","20.0 m
","2094.4 lbs.
","950.0 kg
"
242,Excadrill,530,Ground,Steel,"['Sand Rush', 'Sand Force', 'Mold Breaker']",110,135,60,50,65,88,"2'04""
","0.7 m
","89.1 lbs.
","40.4 kg
"
243,Exeggcute,102,Grass,Psychic,"['Chlorophyll', 'Harvest']",60,40,80,60,45,40,"1'04""
","0.4 m
","5.5 lbs.
","2.5 kg
"
244,Exeggutor,103,Grass,Psychic,"['Chlorophyll', 'Frisk', 'Harvest']",95,95,85,125,65,55,"6'07""
","2.0 m
","264.6 lbs.
","120.0 kg
"
245,Exploud,295,Normal,Unknown,"['Soundproof', 'Scrappy']",104,91,63,91,63,68,"4'11""
","1.5 m
","185.2 lbs.
","84.0 kg
"
246,Falinks,870,Fighting,Unknown,"['Battle Armor', 'Defiant']",65,100,100,70,60,75,"9'10""
","3.0 m
","136.7 lbs.
","62.0 kg
"
247,Farfetch'd,83,Normal,Flying,"['Keen Eye', 'Inner Focus', 'Steadfast', 'Defiant', 'Scrappy']",52,65,55,58,62,60,"2'07""
","0.8 m
","33.1 lbs.
","15.0 kg
"
248,Fearow,22,Normal,Flying,"['Keen Eye', 'Sniper']",65,90,65,61,61,100,"3'11""
","1.2 m
","83.8 lbs.
","38.0 kg
"
249,Feebas,349,Water,Unknown,"['Swift Swim', 'Oblivious', 'Gen VI+', 'Adaptability']",20,15,20,10,55,80,"2'00""
","0.6 m
","16.3 lbs.
","7.4 kg
"
250,Fennekin,653,Fire,Unknown,"['Blaze', 'Magician']",40,45,40,62,60,60,"1'04""
","0.4 m
","20.7 lbs.
","9.4 kg
"
251,Feraligatr,160,Water,Unknown,"['Torrent', 'Sheer Force']",85,105,100,79,83,78,"7'07""
","2.3 m
","195.8 lbs.
","88.8 kg
"
252,Ferroseed,597,Grass,Steel,['Iron Barbs'],44,50,91,24,86,10,"2'00""
","0.6 m
","41.4 lbs.
","18.8 kg
"
253,Ferrothorn,598,Grass,Steel,"['Iron Barbs', 'Anticipation']",74,94,131,54,116,20,"3'03""
","1.0 m
","242.5 lbs.
","110.0 kg
"
254,Finneon,456,Water,Unknown,"['Swift Swim', 'Storm Drain', 'Water Veil']",49,49,56,49,61,66,"1'04""
","0.4 m
","15.4 lbs.
","7.0 kg
"
255,Flaaffy,180,Electric,Unknown,"['Static', 'Plus']",70,55,55,80,60,45,"2'07""
","0.8 m
","29.3 lbs.
","13.3 kg
"
256,Flabébé,669,Fairy,Unknown,"['Flower Veil', 'Symbiosis']",44,38,39,61,79,42,"0'04""
","0.1 m
","0.2 lbs.
","0.1 kg
"
257,Flapple,841,Grass,Dragon,"['Ripen', 'Gluttony', 'Hustle']",70,110,80,95,60,70,"1'00""
","0.3 m
","2.2 lbs.
","1.0 kg
"
258,Flareon,136,Fire,Unknown,"['Flash Fire', 'Guts']",65,130,60,95,110,65,"2'11""
","0.9 m
","55.1 lbs.
","25.0 kg
"
259,Fletchinder,662,Fire,Flying,"['Flame Body', 'Gale Wings']",62,73,55,56,52,84,"2'04""
","0.7 m
","35.3 lbs.
","16.0 kg
"
260,Fletchling,661,Normal,Flying,"['Big Pecks', 'Gale Wings']",45,50,43,40,38,62,"1'00""
","0.3 m
","3.7 lbs.
","1.7 kg
"
261,Floatzel,419,Water,Unknown,"['Swift Swim', 'Water Veil']",85,105,55,85,50,115,"3'07""
","1.1 m
","73.9 lbs.
","33.5 kg
"
262,Floette,670,Fairy,Unknown,"['Flower Veil', 'Symbiosis']",54,45,47,75,98,52,"0'08""
","0.2 m
","2.0 lbs.
","0.9 kg
"
263,Florges,671,Fairy,Unknown,"['Flower Veil', 'Symbiosis']",78,65,68,112,154,75,"3'07""
","1.1 m
","22.0 lbs.
","10.0 kg
"
264,Flygon,330,Ground,Dragon,['Levitate'],80,100,80,80,80,100,"6'07""
","2.0 m
","180.8 lbs.
","82.0 kg
"
265,Fomantis,753,Grass,Unknown,"['Leaf Guard', 'Contrary']",40,55,35,50,35,35,"1'00""
","0.3 m
","3.3 lbs.
","1.5 kg
"
266,Foongus,590,Grass,Poison,"['Effect Spore', 'Regenerator']",69,55,45,55,55,15,"0'08""
","0.2 m
","2.2 lbs.
","1.0 kg
"
267,Forretress,205,Bug,Steel,"['Sturdy', 'Overcoat']",75,90,140,60,60,40,3'11??,"1.2 m
","277.3 lbs.
","125.8 kg
"
268,Fraxure,611,Dragon,Unknown,"['Rivalry', 'Mold Breaker', 'Unnerve']",66,117,70,40,50,67,"3'03""
","1.0 m
","79.4 lbs.
","36.0 kg
"
269,Frillish,592,Water,Ghost,"['Water Absorb', 'Cursed Body', 'Damp']",55,40,50,65,85,40,"3'11""
","1.2 m
","72.8 lbs.
","33.0 kg
"
270,Froakie,656,Water,Unknown,"['Torrent', 'Protean']",41,56,40,62,44,71,"1'00""
","0.3 m
","15.4 lbs.
","7.0 kg
"
271,Frogadier,657,Water,Unknown,"['Torrent', 'Protean']",54,63,52,83,56,97,"2'00""
","0.6 m
","24.0 lbs.
","10.9 kg
"
272,Froslass,478,Ice,Ghost,"['Snow Cloak', 'Cursed Body']",70,80,70,80,70,110,"4'03""
","1.3 m
","58.6 lbs.
","26.6 kg
"
273,Frosmoth,873,Ice,Bug,"['Shield Dust', 'Ice Scales']",70,65,60,125,90,65,"4'03""
","1.3 m
","92.6 lbs.
","42.0 kg
"
274,Furfrou,676,Normal,Unknown,['Fur Coat'],75,80,60,65,90,102,"3'11""
","1.2 m
","61.7 lbs.
","28.0 kg
"
275,Furret,162,Normal,Unknown,"['Run Away', 'Keen Eye', 'Frisk']",85,76,64,45,55,90,"5'11""
","1.8 m
","71.7 lbs.
","32.5 kg
"
276,Gabite,444,Dragon,Ground,"['Sand Veil', 'Rough Skin']",68,90,65,50,55,82,"4'07""
","1.4 m
","123.5 lbs.
","56.0 kg
"
277,Gallade,475,Psychic,Fighting,"['Steadfast', 'Justified', 'Inner Focus']",68,125,65,65,115,80,"5'03""
","1.6 m
","114.6 lbs.
","52.0 kg
"
278,Galvantula,596,Bug,Electric,"['Compound Eyes', 'Unnerve', 'Swarm']",70,77,60,97,60,108,"2'07""
","0.8 m
","31.5 lbs.
","14.3 kg
"
279,Garbodor,569,Poison,Unknown,"['Stench', 'Weak Armor', 'Aftermath']",80,95,82,60,82,75,"6'03""
","1.9 m
","236.6 lbs.
","107.3 kg
"
280,Garchomp,445,Dragon,Ground,"['Sand Veil', 'Rough Skin', 'Sand Force']",108,130,95,80,85,102,"6'03""
","1.9 m
","209.4 lbs.
","95.0 kg
"
281,Gardevoir,282,Psychic,Fairy,"['Synchronize', 'Trace', 'Telepathy', 'Pixilate']",68,65,65,125,115,80,"5'03""
","1.6 m
","106.7 lbs.
","48.4 kg
"
282,Gastly,92,Ghost,Poison,['Levitate'],30,35,30,100,35,80,"4'03""
","1.3 m
","0.2 lbs.
","0.1 kg
"
283,Gastrodon,423,Water,Ground,"['Sticky Hold', 'Storm Drain', 'Sand Force']",111,83,68,92,82,39,"2'11""
","0.9 m
","65.9 lbs.
","29.9 kg
"
284,Genesect,649,Bug,Steel,['Download'],71,120,95,120,95,99,"4'11""
","1.5 m
","181.9 lbs.
","82.5 kg
"
285,Gengar,94,Ghost,Poison,"['Cursed Body', 'Shadow Tag']",60,65,60,130,75,110,"4'11""
","1.5 m
","89.3 lbs.
","40.5 kg
"
286,Geodude,74,Rock,Ground,"['Rock Head', 'Sturdy', 'Magnet Pull', 'Sturdy', 'Sand Veil', 'Galvanize']",40,80,100,30,30,20,"1'04""
","0.4 m
","44.1 lbs.
","20.0 kg
"
287,Gible,443,Dragon,Ground,"['Sand Veil', 'Rough Skin']",58,70,45,40,45,42,"2'04""
","0.7 m
","45.2 lbs.
","20.5 kg
"
288,Gigalith,526,Rock,Unknown,"['Sturdy', 'Sand Stream', 'Gen VII+', 'Sand Force']",85,135,130,60,70,25,"5'07""
","1.7 m
","573.2 lbs.
","260.0 kg
"
289,Girafarig,203,Normal,Psychic,"['Inner Focus', 'Early Bird', 'Sap Sipper']",70,80,65,90,65,85,"4'11""
","1.5 m
","91.5 lbs.
","41.5 kg
"
290,Giratina,487,Ghost,Dragon,"['Pressure', 'Levitate', 'Telepathy']",150,100,120,100,120,90,"14'09""
","4.5 m
","1653.5 lbs.
","750.0 kg
"
291,Glaceon,471,Ice,Unknown,"['Snow Cloak', 'Ice Body']",65,60,110,130,95,65,"2'07""
","0.8 m
","57.1 lbs.
","25.9 kg
"
292,Glalie,362,Ice,Unknown,"['Inner Focus', 'Ice Body', 'Moody', 'Refrigerate']",80,80,80,80,80,80,"4'11""
","1.5 m
","565.5 lbs.
","256.5 kg
"
293,Glameow,431,Normal,Unknown,"['Limber', 'Own Tempo', 'Keen Eye']",49,55,42,42,37,85,"1'08""
","0.5 m
","8.6 lbs.
","3.9 kg
"
294,Glastrier,896,Ice,Unknown,['Chilling Neigh'],100,145,130,65,110,30,"7'03""
","2.2 m
","1763.7 lbs.
","800.0 kg
"
295,Gligar,207,Ground,Flying,"['Hyper Cutter', 'Sand Veil', 'Immunity']",65,75,105,35,65,85,"3'07""
","1.1 m
","142.9 lbs.
","64.8 kg
"
296,Gliscor,472,Ground,Flying,"['Hyper Cutter', 'Sand Veil', 'Poison Heal']",75,95,125,45,75,95,"6'07""
","2.0 m
","93.7 lbs.
","42.5 kg
"
297,Gloom,44,Grass,Poison,"['Chlorophyll', 'Stench']",60,65,70,85,75,40,"2'07""
","0.8 m
","19.0 lbs.
","8.6 kg
"
298,Gogoat,673,Grass,Unknown,"['Sap Sipper', 'Grass Pelt']",123,100,62,97,81,68,"5'07""
","1.7 m
","200.6 lbs.
","91.0 kg
"
299,Golbat,42,Poison,Flying,"['Inner Focus', 'Infiltrator']",75,80,70,65,75,90,"5'03""
","1.6 m
","121.3 lbs.
","55.0 kg
"
300,Goldeen,118,Water,Unknown,"['Swift Swim', 'Water Veil', 'Lightning Rod']",45,67,60,35,50,63,2??0??,"0.6 m
","33.1 lbs.
","15.0 kg
"
301,Golduck,55,Water,Unknown,"['Damp', 'Cloud Nine', 'Swift Swim']",80,82,78,95,80,85,"5'07""
","1.7 m
","168.9 lbs.
","76.6 kg
"
302,Golem,76,Rock,Ground,"['Rock Head', 'Sturdy', 'Magnet Pull', 'Sturdy', 'Sand Veil', 'Galvanize']",80,110,130,55,65,45,"4'07""
","1.4 m
","661.4 lbs.
","300.0 kg
"
303,Golett,622,Ground,Ghost,"['Iron Fist', 'Klutz', 'No Guard']",59,74,50,35,50,35,"3'03""
","1.0 m
","202.8 lbs.
","92.0 kg
"
304,Golisopod,768,Bug,Water,['Emergency Exit'],75,125,140,60,90,40,"6'07""
","2.0 m
","238.1 lbs.
","108.0 kg
"
305,Golurk,623,Ground,Ghost,"['Iron Fist', 'Klutz', 'No Guard']",89,124,80,55,80,55,"9'02""
","2.8 m
","727.5 lbs.
","330.0 kg
"
306,Goodra,706,Dragon,Unknown,"['Sap Sipper', 'Hydration', 'Sap Sipper', 'Overcoat', 'Gooey']",90,100,70,110,150,80,"6'07""
","2.0 m
","331.8 lbs.
","150.5 kg
"
307,Goomy,704,Dragon,Unknown,"['Sap Sipper', 'Hydration', 'Gooey']",45,50,35,55,75,40,"1'00""
","0.3 m
","6.2 lbs.
","2.8 kg
"
308,Gorebyss,368,Water,Unknown,"['Swift Swim', 'Hydration']",55,84,105,114,75,52,"5'11""
","1.8 m
","49.8 lbs.
","22.6 kg
"
309,Gossifleur,829,Grass,Unknown,"['Cotton Down', 'Regenerator', 'Effect Spore']",40,40,60,40,60,10,"1'04""
","0.4 m
","4.9 lbs.
","2.2 kg
"
310,Gothita,574,Psychic,Unknown,"['Frisk', 'Competitive', 'Shadow Tag']",45,30,50,55,65,45,"1'04""
","0.4 m
","12.8 lbs.
","5.8 kg
"
311,Gothitelle,576,Psychic,Unknown,"['Frisk', 'Competitive', 'Shadow Tag']",70,55,95,95,110,65,"4'11""
","1.5 m
","97.0 lbs.
","44.0 kg
"
312,Gothorita,575,Psychic,Unknown,"['Frisk', 'Competitive', 'Shadow Tag']",60,45,70,75,85,55,"2'04""
","0.7 m
","39.7 lbs.
","18.0 kg
"
313,Gourgeist,711,Ghost,Grass,"['Pickup', 'Frisk', 'Insomnia']",55,85,122,58,75,99,"2'04""
","0.7 m
","20.9 lbs.
","9.5 kg
"
314,Granbull,210,Fairy,Unknown,"['Intimidate', 'Quick Feet', 'Rattled']",90,120,75,60,60,45,"4'07""
","1.4 m
","107.4 lbs.
","48.7 kg
"
315,Grapploct,853,Fighting,Unknown,"['Limber', 'Technician']",80,118,90,70,80,42,"5'03""
","1.6 m
","86.0 lbs.
","39.0 kg
"
316,Graveler,75,Rock,Ground,"['Rock Head', 'Sturdy', 'Magnet Pull', 'Sturdy', 'Sand Veil', 'Galvanize']",55,95,115,45,45,35,"3'03""
","1.0 m
","231.5 lbs.
","105.0 kg
"
317,Greedent,820,Normal,Unknown,"['Cheek Pouch', 'Gluttony']",120,95,95,55,75,20,"2'00""
","0.6 m
","13.2 lbs.
","6.0 kg
"
318,Greninja,658,Water,Dark,"['Torrent', 'Battle Bond', 'Protean']",72,95,67,103,71,122,"4'11""
","1.5 m
","88.2 lbs.
","40.0 kg
"
319,Grimer,88,Poison,Unknown,"['Stench', 'Sticky Hold', 'Poison Touch', 'Gluttony', 'Poison Touch', 'Power of Alchemy']",80,80,50,40,50,25,"2'11""
","0.9 m
","66.1 lbs.
","30.0 kg
"
320,Grimmsnarl,861,Dark,Fairy,"['Prankster', 'Frisk', 'Pickpocket']",95,120,65,95,75,60,"4'11""
","1.5 m
","134.5 lbs.
","61.0 kg
"
321,Grookey,810,Grass,Unknown,"['Overgrow', 'Grassy Surge']",50,65,50,40,40,65,"1'00""
","0.3 m
","11.0 lbs.
","5.0 kg
"
322,Grotle,388,Grass,Unknown,"['Overgrow', 'Shell Armor']",75,89,85,55,65,36,"3'07""
","1.1 m
","213.8 lbs.
","97.0 kg
"
323,Groudon,383,Ground,Unknown,"['Drought', 'Desolate Land']",100,150,140,100,90,90,"11'06""
","3.5 m
","2094.4 lbs.
","950.0 kg
"
324,Grovyle,253,Grass,Unknown,"['Overgrow', 'Unburden']",50,65,45,85,65,95,"2'11""
","0.9 m
","47.6 lbs.
","21.6 kg
"
